date;nom_point;latitude;longitude;vitesse_reelle;vitesse_habituelle;bouchon_seconds;niveau traffic
2025-12-07 17:13:02;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 17:13:02;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 17:13:03;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 17:13:03;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 17:13:04;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 17:13:04;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 17:18:04;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 17:18:05;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 17:18:05;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 17:18:06;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 17:18:06;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 17:18:06;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 17:18:07;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 17:23:07;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 17:23:08;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 17:23:08;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 17:23:08;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 17:23:09;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 17:23:09;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 17:23:09;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 17:28:10;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 17:28:10;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 17:28:11;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 17:28:11;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 17:28:11;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 17:28:12;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 17:28:12;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 17:33:13;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 17:33:13;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 17:33:13;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 17:33:13;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 17:33:14;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 17:33:14;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 17:33:14;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 17:38:15;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 17:38:15;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 17:38:15;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 17:38:16;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;75;98;25;0
2025-12-07 17:38:16;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 17:38:16;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 17:38:17;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 17:43:17;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 17:43:17;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 17:43:17;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 17:43:18;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 17:43:18;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 17:43:18;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 17:43:19;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 17:48:19;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 17:48:19;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 17:48:20;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 17:48:20;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;78;97;20;0
2025-12-07 17:48:20;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 17:48:21;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 17:48:21;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 17:53:21;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 17:53:22;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 17:53:22;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 17:53:22;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 17:53:23;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 17:53:23;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 17:53:23;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 17:58:24;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 17:58:24;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 17:58:24;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 17:58:25;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 17:58:25;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 17:58:25;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 17:58:26;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 18:03:26;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 18:03:26;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 18:03:27;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 18:03:27;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 18:03:28;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 18:03:28;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 18:03:28;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 18:08:29;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 18:08:29;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 18:08:29;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 18:08:30;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 18:08:30;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 18:08:31;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 18:08:31;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 18:13:31;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 18:13:32;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 18:13:32;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 18:13:33;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 18:13:33;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 18:13:33;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 18:13:34;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 18:18:34;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 18:18:34;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 18:18:35;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 18:18:35;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;73;97;26;0
2025-12-07 18:18:36;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 18:18:36;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 18:18:36;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 18:23:37;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 18:23:37;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 18:23:38;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 18:23:38;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;79;98;19;0
2025-12-07 18:23:38;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 18:23:39;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 18:23:39;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 18:28:39;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 18:28:40;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 18:28:40;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 18:28:40;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 18:28:41;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 18:28:41;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 18:28:41;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 18:33:42;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 18:33:42;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 18:33:42;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 18:33:43;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 18:33:43;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 18:33:43;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 18:33:44;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 18:38:44;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 18:38:44;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 18:38:45;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 18:38:45;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 18:38:45;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 18:38:46;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 18:38:46;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 18:43:46;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 18:43:47;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 18:43:47;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 18:43:47;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 18:43:48;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 18:43:48;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
